"","word","num"
"1","santa littl helper",61
"2","heh heh heh",52
"3","hey hey hey",52
"4","one two three",46
"5","whoa whoa whoa",46
"6","well look like",42
"7","wait wait wait",41
"8","ow ow ow",38
"9","well well well",38
"10","yeah yeah yeah",36
"11","look like got",35
"12","hey wait minut",31
"13","comic book guy",30
"14","ha ha ha",30
"15","go go go",29
"16","oh thank god",29
"17","oh yeah well",29
"18","make feel better",26
"19","look just like",25
"20","nuclear power plant",25
"21","hundr thousand dollar",24
"22","la la la",24
"23","five hundr dollar",23
"24","homer j simpson",23
"25","oh god oh",23
"26","three two one",23
"27","pleas pleas pleas",22
"28","oh oh oh",21
"29","well well look",21
"30","dream come true",20
"31","god oh god",20
"32","homer simpson sir",20
"33","blah blah blah",19
"34","just want know",19
"35","long time ago",19
"36","oh dear god",19
"37","thing ever done",19
"38","make look like",18
"39","ten thousand dollar",18
"40","two three four",18
"41","ho ho ho",17
"42","mr mrs simpson",17
"43","oh yeah yeah",17
"44","c montgomeri burn",16
"45","littl miss springfield",16
"46","special littl guy",16
